X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,Y
18851.14,2,0.141449548,1,66.18,kOT,43,12476.38,kUH,kM,732.13,kM,467.87,1200,500,kP,4,k0,k2,18851.14,6374.76,245,k08,k10,kD,28.18,14.69,46,kO,kN,k3,0
69705.92,5,0.29799511,1,365.64,kOT,28,25009.44,kC,kM,1151,kM,1227,2378,13000,kS,1,k0,k2,69705.92,44696.48,1472,k08,k10,kD,1.8,14.69,31,kO,kF,k3,0
21150,4,0.352682587,0,348.99,kOT,31,203.16,kS,kM,453.16,kM,989.53,1442.69,10000,kU,1,k0,k2,21150,20946.84,1101,k20,k10,kD,3.26,14.69,32,kO,kF,k3,0
2500,21,0.349554864,0,64,kOT,52,0,kC,kM,361,kM,183.09,544.09,700,kP,1,k0,k4,2500,2500,365,k22,k10,kD,6.48,14.69,52,kO,kS,k3,0
305753,3,0.344800797,2,173.09,kOT,48,79600,kC,kM,2958,kM,502,3460,5000,kS,1,k0,k6,305753,226153,1106,k85,k10,kI,1.47,13.99,49,kO,kN,k3,0
177989.78,30,0.669586895,0,470.05,kOT,52,30291.59,kC,kM,518,kM,702,1220,17000,kU,2,k0,k6,177989.78,147698.19,1462,k29,k10,kD,27.17,13.99,56,kO,kN,k3,0
56065.71,2,0.504859503,1,505.95,kOT,38,816.79,kC,kM,414.09,kM,1002.16,1416.25,18000,kS,1,k0,k2,56065.71,55248.92,1471,k08,k10,kD,1.1,14.69,37,kO,kF,k3,0
65000,1,0.100336,0,125.42,kOT,35,0,kS,kM,550,kF,1250,1800,3100,kU,1,k0,k6,65000,65000,921,k01,k10,kD,12.24,14.69,39,kO,kP,k3,0
10500,3,0.347697842,1,241.65,kOT,33,3496.14,kC,kM,185,kM,695,880,7000,kS,1,k0,k9,10500,7003.86,1099,k08,k17,kD,58.38,13.99,34,kO,kF,k3,0
11105.91,24,0.792951168,0,280.11,kOT,54,10679.89,kC,kM,595.64,kM,353.25,948.89,10000,kU,2,k0,k2,11105.91,426.02,1462,k118,k10,kD,1.99,14.69,57,kO,kF,k3,0
5000,7,0.495691176,0,337.07,kOT,43,0,kS,kM,170,kM,680,850,12000,kP,2,k0,k6,5000,5000,1469,k24,k10,kD,0.11,14.69,42,kR,kF,k3,0
68850,-2,0.127164942,1,120.34,kOT,32,13000,kC,kM,630,kM,946.33,1576.33,3500,kU,1,k0,k6,68850,55850,1080,k23,k10,kD,11.96,13.99,35,kO,kN,k3,0
18000,4,0.511666667,1,313.14,kOT,42,442,kC,kM,360,kF,612,972,9000,kS,2,k0,k8,18000,17558,1096,k22,k17,kD,5.1,14.69,44,kO,kN,k3,0
39187.24,11,13.7908,0,2068.62,kOT,70,0,kD,kA,150,kF,150,300,2000,kP,1,k0,k2,39187.24,39187.24,316,k85,k10,kD,33.14,12,69,kO,kF,k3,0
39405.5,2,0.215376552,1,90.4,kOT,44,3410.76,kC,kM,619.38,kF,419.73,1039.11,1000,kS,1,k0,k2,39405.5,35994.74,365,k15,k10,kD,10.05,14.69,47,kO,kN,k3,0
25312,4,0.503448276,1,146,kOT,27,5370,kS,kM,360,kF,290,650,3000,kT,2,k0,k4,25312,19942,741,k32,k10,kD,23.17,13.99,30,kO,kF,k3,0
20000,1,15.97977223,3,14733.35,kOT,39,0,kC,kA,290,kM,922,1212,12000,kU,1,k0,k7,20000,20000,660,k23,k17,kD,212.97,12,38,kO,kF,k3,0
36328.5,12,0.172717821,3,169.45,kOT,35,0,kC,kM,977,kM,981.08,1958.08,3500,kS,1,k0,k3,36328.5,29550.74,733,k28,k10,kD,7.62,14.69,34,kO,kF,k3,0
31456.35,10,0.245021097,1,174.21,kOT,51,4686.82,kC,kM,412,kF,711,1123,5000,kP,1,k0,k9,31456.35,26769.53,1097,k89,k17,kD,0.11,14.69,50,kO,kN,k3,0
4000,3,0.487799777,0,279.88,kOT,27,3052.96,kC,kM,407,kF,573.76,980.76,10000,kS,1,k0,k3,4000,947.04,1462,k130,k10,kD,0.66,14.69,26,kO,kF,k3,0
26169.62,1,0.3161932,1,145.92,kOT,28,20242.87,kC,kM,779,kM,461.49,1240.49,3000,kU,1,k0,k3,26169.62,5926.75,731,k23,k10,kD,5.13,14.69,28,kO,kN,k3,0
89208.49,29,0.5461639,1,279.98,kOT,51,17529.28,kD,kM,914.26,kF,512.63,1426.89,10000,kU,2,k0,k2,89208.49,71679.21,1461,k99,k10,kD,7300.47,14.69,55,kR,kN,k3,0
16997.37,2,0.496774573,0,253.36,kOT,65,6789.63,kV,kM,773.75,kF,510.01,1283.76,9000,kU,1,k0,k6,16997.37,10207.74,1474,k26,k10,kD,0.11,14.69,64,kR,kN,k3,1
19247,4,0.214129099,0,275.4,kOT,26,0,kS,kM,450,kF,1286.14,1736.14,10000,kU,1,k0,k7,19247,19247,1452,k23,k17,kD,1165.36,13.99,29,kO,kF,k3,0
43440,0,0.121689786,0,193,kOT,66,15841,kD,kM,510,kM,1586,2096,5500,kS,1,k0,k4,43440,27599,1104,k67,k10,kI,2853.32,14.69,67,kR,kN,k3,0
220150,-1,0.360720461,2,125.17,kOT,35,800,kV,kM,307,kF,347,654,2000,kU,1,k0,k9,220150,219350,550,k12,k17,kD,164.59,14.69,36,kR,kN,k3,0
89287,9,0.244842795,2,560.69,kOT,41,6127,kC,kM,1371,kF,2290,3661,20000,kU,1,k0,k8,89287,83160,1464,k80,k17,kD,5.15,14.69,40,kO,kN,k3,0
53187.66,3,0.358350877,1,102.13,kOT,48,0,kC,kM,215,kM,285,500,2100,kP,2,k0,k6,53187.66,53187.66,748,k08,k10,kD,152.95,13.99,50,kO,kN,k3,0
73110.19,5,0.301846472,1,90.4,kOT,57,0,kC,kM,240,kM,299.49,539.49,1000,kP,1,k0,k3,73110.19,73110.19,367,k26,k10,kD,235.29,14.69,61,kO,kN,k3,0
50557.57,29,0.502326139,2,418.94,kOT,51,0,kC,kM,448,kM,834,1282,15000,kU,1,k0,k3,50557.57,50557.57,1455,k79,k10,kD,45.21,14.69,50,kO,kN,k3,0
13500,2,0.440966387,0,209.9,kOT,26,1529.38,kS,kM,284,kM,476,760,7500,kP,1,k0,k9,13500,11970.62,1460,k02,k17,kD,3.4,14.69,25,kO,kF,k3,0
12325,2,0.338017153,0,125.33,kOT,35,1734.87,kC,kM,200,kF,370.78,570.78,3600,kU,2,k0,k2,12325,10590.13,1095,k09,k10,kD,76.62,14.69,37,kR,kF,k3,0
5000,6,0.318325956,1,289.11,kOT,32,0,kS,kM,230,kF,908.22,1138.22,10300,kS,1,k0,k9,5000,5000,1467,k110,k17,kD,0.55,14.69,31,kO,kF,k3,0
61789.67,1,0.324629255,1,451.16,kOT,36,22235.53,kC,kM,1200,kM,1389.77,2589.77,5000,kU,1,k0,k5,61789.67,39554.14,361,k23,k10,kD,174.06,14.69,38,kO,kN,k3,0
18207.07,3,0.251192898,0,135.82,kOT,28,5575.91,kC,kM,560.3,kF,540.7,1101,1500,kU,3,k0,k2,18207.07,12631.16,369,k23,k10,kD,12.34,14.69,31,kR,kN,k3,0
43958.46,-3,1.340974026,2,413.02,kOT,60,12822.03,kC,kM,808,kM,308,1116,15000,kU,2,k0,k2,43958.46,31136.43,1466,k26,k10,kD,413.6,13.69,63,kR,kN,k3,0
18999.62,-3,0.274319158,0,174.36,kOT,29,3315.5,kS,kM,659.69,kF,635.61,1295.3,5000,kU,1,k0,k7,18999.62,15684.12,1099,k12,k17,kD,301.46,14.69,31,kO,kN,k3,0
7845.85,12,0.307157325,2,216.85,kOT,37,0,kC,kM,310,kM,705.99,1015.99,7000,kP,1,k0,k3,7845.85,7845.85,1282,k118,k10,kD,776.81,14.69,41,kR,kN,k3,0
74200,9,0.350946069,1,346.84,kOT,51,571.95,kC,kM,465,kF,988.3,1453.3,10000,kS,1,k0,k3,74200,73628.05,1086,k29,k10,kD,29.05,14.69,54,kO,kN,k3,0
12942,-3,0.341952191,3,257.49,kOT,28,4196,kC,kM,632,kM,753,1385,8000,kP,1,k0,k5,12942,8746,1224,k02,k17,kD,6521.86,14.69,32,kO,kA,k3,0
5000,3,0.317192982,1,90.4,kOT,33,1210,kS,kM,302,kF,285,587,1000,kU,1,k0,k2,5000,3790,364,k29,k10,kD,23.85,14.69,33,kO,kF,k3,0
